toponym,offset,latitude,longitude
Moscow,2098,55.75,37.5
Russia,2102,60.0,100.0
Moscow,2103,55.75,37.5
Moscow,2105,55.75,37.5
Moscow,2110,55.75,37.5
Moscow,2111,55.75,37.5
Moscow,2112,55.75,37.5
Moscow,2119,55.75,37.5
Moscow,2120,55.75,37.5
Moscow,2121,55.75,37.5
Moscow,2123,55.75,37.5
Moscow,2124,55.75,37.5
Kremlin,2125,36.54725,-97.83145
Three Hills,2126,51.70012,-113.26863
Torzhok,2127,57.0436,34.96221
Moscow,2128,55.75,37.5
Ryazan,2129,54.6269,39.6916
Moscow,2131,55.75,37.5
Moscow,2133,55.75,37.5
Borodino,2135,55.9061,94.9079
Moscow,2136,55.75,37.5
Moscow,2137,55.75,37.5
Moscow,2140,55.75,37.5
Moscow,2141,55.75,37.5
Moscow,2142,55.75,37.5
Smolensk,2143,54.7818,32.0401
Moscow,2144,55.75,37.5
Kremlin,2145,36.54725,-97.83145
Kremlin,2146,36.54725,-97.83145
Moscow,2147,55.75,37.5
Moscow,2148,55.75,37.5
Moscow,2150,55.75,37.5
Moscow,2151,55.75,37.5
Africa,2152,35.50472,11.06222
Moscow,2153,55.75,37.5
Moscow,2154,55.75,37.5
Moscow,2155,55.75,37.5
Moscow,2156,55.75,37.5
Moscow,2157,55.75,37.5
Moscow,2158,55.75,37.5
Moscow,2159,55.75,37.5
Tver,2160,56.86049,35.87603
Kaluga,2161,54.5293,36.27542
Moscow,2163,55.75,37.5
Moscow,2164,55.75,37.5
Moscow,2166,55.75,37.5
Moscow,2167,55.75,37.5
Moscow,2168,55.75,37.5
Moscow,2169,55.75,37.5
Kremlin,2170,36.54725,-97.83145
Bazaar,2173,38.27196,-96.53529
Moscow,2176,55.75,37.5
Moscow,2181,55.75,37.5
Moscow,2183,55.75,37.5
Moscow,2184,55.75,37.5
Ryazan,2185,54.6269,39.6916
Moscow,2186,55.75,37.5
Moscow,2187,55.75,37.5
Borodino,2189,55.9061,94.9079
Moscow,2190,55.75,37.5
Moscow,2191,55.75,37.5
Moscow,2192,55.75,37.5
Moscow,2193,55.75,37.5
Moscow,2194,55.75,37.5
Russia,2195,60.0,100.0
